percentage,concepts,secs
39.0,22,390.98
30.0,25,328.75
23.0,25,251.7
18.0,24,153.01
36.0,16,303.52
1.0,2,5.0
0.0,5,5.0
15.0,1,52.92
37.0,2,227.6
36.0,4,83.52
24.0,22,252.04
39.0,9,96.61
42.0,2,52.0
24.0,6,100.4
35.0,3,125.16
10.0,10,80.1
12.0,1,149.95
14.0,2,114.44
8.0,38,194.79
19.0,39,248.47
7.0,54,167.61
10.0,21,143.55
8.0,35,142.05
15.0,20,103.48
7.0,38,118.04
4.0,65,132.79
11.0,48,196.75
7.0,30,133.48
6.0,43,91.29
12.0,21,89.26
6.0,47,125.92
21.0,11,108.41
20.0,6,230.65
33.0,11,260.65
30.0,5,243.98
20.0,25,368.52
29.0,13,284.99
28.0,19,338.56
23.0,15,295.18
34.0,14,217.96
29.0,7,211.79
35.0,7,215.84
33.0,4,176.41
23.0,14,350.57
23.0,8,298.24
22.0,16,306.87
28.0,10,165.2
29.0,15,236.21
27.0,25,356.28
30.0,11,354.06
32.0,6,235.91
41.0,9,123.09
32.0,7,345.13
0.0,28,6.62
2.0,14,6.66
1.0,29,7.95
1.0,14,7.93
0.0,38,7.78
4.0,29,26.41
1.0,54,13.2
1.0,43,13.58
2.0,40,14.28
2.0,27,12.46
3.0,22,9.37
2.0,28,10.73
1.0,22,11.26
1.0,38,13.11
2.0,41,12.05
3.0,28,11.91
1.0,52,9.33
1.0,70,10.93
17.0,50,459.18
10.0,3,56.08
6.0,23,77.67
8.0,4,52.42
42.0,3,343.36
18.0,2,71.81
13.0,3,68.31
16.0,66,239.74
18.0,15,194.56
33.0,20,204.65
17.0,16,540.56
18.0,19,546.27
29.0,45,259.09
0.0,29,10.0
3.0,4,7.5
13.0,1,131.88
11.0,2,154.23
9.0,5,160.03
9.0,2,118.23
7.0,7,102.07
8.0,2,88.49
6.0,1,79.72
20.0,87,324.36
35.0,28,320.7
37.0,22,199.79
33.0,26,225.03
34.0,23,412.21
31.0,23,253.88
22.0,16,197.35
23.0,22,231.03
3.0,6,46.55
11.0,18,172.4
23.0,99,355.81
28.0,42,258.56
31.0,4,167.89
15.0,10,95.73
14.0,17,281.04
31.0,28,385.33
29.0,4,388.62
33.0,16,348.4
16.0,4,390.13
27.0,6,171.3
6.0,8,71.51
21.0,18,220.96
1.0,43,19.05
47.0,1,375.98
34.0,5,730.13
41.0,8,718.55
36.0,4,624.27
58.0,2,111.27
24.0,45,202.87
21.0,48,300.1
19.0,89,322.33
38.0,24,233.01
